component,packages,files,libraries,library_ids,example_packages
type,3,34,3,h2;jackson-core;jackson-databind,org.h2.mvstore.type;tools.jackson.core.type;tools.jackson.databind.type
sql,5,31,3,commons-beanutils;gson;jackson-databind,com.google.gson.internal.sql;org.apache.commons.beanutils2.sql;org.apache.commons.beanutils2.sql.converters;org.apache.commons.beanutils2.sql.converters.locale;tools.jackson.databind.ext.sql
xml,3,23,3,guava;log4j-core;testng,com.google.common.xml;org.apache.logging.log4j.core.config.xml;org.testng.xml
stream,3,18,3,commons-lang;fastjson;gson,com.alibaba.fastjson2.stream;com.google.gson.stream;org.apache.commons.lang3.stream
http,30,448,2,httpclient;retrofit,org.apache.hc.client5.http;org.apache.hc.client5.http.async;org.apache.hc.client5.http.async.methods;org.apache.hc.client5.http.auth;org.apache.hc.client5.http.classic
classic,31,226,2,httpclient;logback-classic,ch.qos.logback.classic;ch.qos.logback.classic.boolex;ch.qos.logback.classic.encoder;ch.qos.logback.classic.filter;ch.qos.logback.classic.helpers
jupiter,10,192,2,assertj-core;junit-jupiter-api,org.assertj.core.api.junit.jupiter;org.junit.jupiter.api;org.junit.jupiter.api.condition;org.junit.jupiter.api.extension;org.junit.jupiter.api.extension.support
protocol,7,192,2,httpclient;mysql-connector-j,com.mysql.cj.protocol;com.mysql.cj.protocol.a;com.mysql.cj.protocol.a.authentication;com.mysql.cj.protocol.a.result;com.mysql.cj.protocol.result
codec,8,173,2,commons-codec;fastjson,com.alibaba.fastjson2.codec;org.apache.commons.codec;org.apache.commons.codec.binary;org.apache.commons.codec.cli;org.apache.commons.codec.digest
protobuf,2,153,2,mysql-connector-j;protobuf-java,com.google.protobuf;com.mysql.cj.x.protobuf
pattern,3,113,2,log4j-core;logback-classic,ch.qos.logback.classic.pattern;ch.qos.logback.classic.pattern.color;org.apache.logging.log4j.core.pattern
framework,14,96,2,mockito-core;org.osgi.core,org.mockito.internal.framework;org.osgi.framework;org.osgi.framework.connect;org.osgi.framework.dto;org.osgi.framework.hooks.bundle
map,2,96,2,commons-collections;fastjson,com.alibaba.fastjson2.internal.trove.map.hash;org.apache.commons.collections4.map
osgi,14,96,2,log4j-core;org.osgi.core,org.apache.logging.log4j.core.osgi;org.osgi.framework;org.osgi.framework.connect;org.osgi.framework.dto;org.osgi.framework.hooks.bundle
builder,3,94,2,commons-lang;log4j-core,org.apache.commons.lang3.builder;org.apache.logging.log4j.core.config.builder.api;org.apache.logging.log4j.core.config.builder.impl
exceptions,12,92,2,mockito-core;mysql-connector-j,com.mysql.cj.exceptions;com.mysql.cj.jdbc.exceptions;org.mockito.exceptions;org.mockito.exceptions.base;org.mockito.exceptions.misusing
result,5,89,2,h2;mysql-connector-j,com.mysql.cj.jdbc.result;com.mysql.cj.protocol.a.result;com.mysql.cj.protocol.result;com.mysql.cj.result;org.h2.result
plugins,11,82,2,log4j-core;mockito-core,org.apache.logging.log4j.core.config.plugins;org.apache.logging.log4j.core.config.plugins.convert;org.apache.logging.log4j.core.config.plugins.processor;org.apache.logging.log4j.core.config.plugins.processor.internal;org.apache.logging.log4j.core.config.plugins.util
auth,4,79,2,h2;httpclient,org.apache.hc.client5.http.auth;org.apache.hc.client5.http.impl.auth;org.h2.security.auth;org.h2.security.auth.impl
format,8,71,2,joda-time;spring-context,org.joda.time.format;org.springframework.format;org.springframework.format.annotation;org.springframework.format.datetime;org.springframework.format.datetime.standard
validation,8,65,2,log4j-core;spring-context,org.apache.logging.log4j.core.config.plugins.validation;org.apache.logging.log4j.core.config.plugins.validation.constraints;org.apache.logging.log4j.core.config.plugins.validation.validators;org.springframework.validation;org.springframework.validation.annotation
file,5,55,2,commons-io;lombok,com.sun.tools.javac.file;java.nio.file;org.apache.commons.io.file;org.apache.commons.io.file.attribute;org.apache.commons.io.file.spi
introspect,2,50,2,fastjson;jackson-databind,com.alibaba.fastjson2.introspect;tools.jackson.databind.introspect
text,3,46,2,commons-lang;mockito-core,org.apache.commons.lang3.text;org.apache.commons.lang3.text.translate;org.mockito.internal.matchers.text
action,2,35,2,log4j-core;logback-classic,ch.qos.logback.classic.joran.action;org.apache.logging.log4j.core.appender.rolling.action
ssl,2,35,2,httpclient;log4j-core,org.apache.hc.client5.http.ssl;org.apache.logging.log4j.core.net.ssl
hash,2,34,2,fastjson;guava,com.alibaba.fastjson2.internal.trove.map.hash;com.google.common.hash
layout,3,34,2,log4j-core;logback-classic,ch.qos.logback.classic.layout;org.apache.logging.log4j.core.layout;org.apache.logging.log4j.core.layout.internal
security,4,34,2,commons-logging;h2,org.apache.commons.logging.security;org.h2.security;org.h2.security.auth;org.h2.security.auth.impl
db,3,32,2,h2;log4j-core,org.apache.logging.log4j.core.appender.db;org.apache.logging.log4j.core.appender.db.jdbc;org.h2.mvstore.db
datetime,3,31,2,log4j-core;spring-context,org.apache.logging.log4j.core.util.datetime;org.springframework.format.datetime;org.springframework.format.datetime.standard
schema,2,29,2,fastjson;h2,com.alibaba.fastjson2.schema;org.h2.schema
convert,2,27,2,joda-time;log4j-core,org.apache.logging.log4j.core.config.plugins.convert;org.joda.time.convert
index,2,27,2,h2;spring-context,org.h2.index;org.springframework.context.index
model,4,27,2,logback-classic;lombok,ch.qos.logback.classic.model;ch.qos.logback.classic.model.processor;ch.qos.logback.classic.model.util;lombok.eclipse.dependencies.model
exception,2,25,2,assertj-core;commons-lang,org.apache.commons.lang3.exception;org.assertj.core.api.exception
helpers,2,24,2,logback-classic;slf4j-api,ch.qos.logback.classic.helpers;org.slf4j.helpers
math,2,24,2,commons-lang;guava,com.google.common.math;org.apache.commons.lang3.math
exc,2,21,2,jackson-core;jackson-databind,tools.jackson.core.exc;tools.jackson.databind.exc
mutable,2,21,2,commons-lang;log4j-core,org.apache.commons.lang3.mutable;org.apache.logging.log4j.core.filter.mutable
parser,2,20,2,log4j-core;lombok,com.sun.tools.javac.parser;org.apache.logging.log4j.core.parser
server,4,20,2,h2;logback-classic,ch.qos.logback.classic.net.server;org.h2.server;org.h2.server.pg;org.h2.server.web
properties,2,18,2,commons-collections;log4j-core,org.apache.commons.collections4.properties;org.apache.logging.log4j.core.config.properties
processor,3,16,2,log4j-core;logback-classic,ch.qos.logback.classic.model.processor;org.apache.logging.log4j.core.config.plugins.processor;org.apache.logging.log4j.core.config.plugins.processor.internal
routing,3,16,2,httpclient;log4j-core,org.apache.hc.client5.http.impl.routing;org.apache.hc.client5.http.routing;org.apache.logging.log4j.core.appender.routing
compress,2,14,2,h2;httpclient,org.apache.hc.client5.http.entity.compress;org.h2.compress
monitor,2,14,2,commons-io;maven-plugin-api,org.apache.commons.io.monitor;org.apache.maven.monitor.logging
nio,3,14,2,httpclient;lombok,java.nio.file;org.apache.hc.client5.http.impl.nio;org.apache.hc.client5.http.nio
log,2,13,2,commons-logging;mysql-connector-j,com.mysql.cj.log;org.apache.commons.logging.tccl.log
access,2,12,2,mockito-core;spring-context,org.mockito.internal.creation.bytebuddy.access;org.springframework.jmx.access
selector,3,12,2,log4j-core;logback-classic,ch.qos.logback.classic.selector;ch.qos.logback.classic.selector.servlet;org.apache.logging.log4j.core.selector
launch,2,11,2,lombok;org.osgi.core,lombok.launch;org.osgi.framework.launch
weaving,2,10,2,org.osgi.core;spring-context,org.osgi.framework.hooks.weaving;org.springframework.context.weaving
retry,2,9,2,h2;spring-context,org.h2.store.fs.retry;org.springframework.resilience.retry
status,2,9,2,log4j-api;log4j-core,org.apache.logging.log4j.core.config.status;org.apache.logging.log4j.status
test,2,8,2,commons-io;commons-lang,org.apache.commons.io.test;org.apache.commons.lang3.test
html,2,7,2,guava;logback-classic,ch.qos.logback.classic.html;com.google.common.html
lang,2,6,2,log4j-api;lombok,java.lang.annotation;org.apache.logging.log4j.lang
tree,2,6,2,jackson-core;lombok,com.sun.tools.javac.tree;tools.jackson.core.tree
money,2,5,2,fastjson;spring-context,com.alibaba.fastjson2.support.money;org.springframework.format.number.money
servlet,3,5,2,commons-logging;logback-classic,ch.qos.logback.classic.selector.servlet;ch.qos.logback.classic.servlet;org.apache.commons.logging.servlet
apachecommons,2,4,2,lombok;mockito-core,lombok.extern.apachecommons;org.mockito.internal.matchers.apachecommons
h2,58,843,1,h2,org.h2;org.h2.api;org.h2.bnf;org.h2.bnf.context;org.h2.command
assertj,29,780,1,assertj-core,org.assertj.core.annotation;org.assertj.core.annotations;org.assertj.core.api;org.assertj.core.api.comparisonstrategy;org.assertj.core.api.exception
collections4,21,659,1,commons-collections,org.apache.commons.collections4;org.apache.commons.collections4.bag;org.apache.commons.collections4.bidimap;org.apache.commons.collections4.bloomfilter;org.apache.commons.collections4.collection
springframework,59,625,1,spring-context,org.springframework.cache;org.springframework.cache.annotation;org.springframework.cache.concurrent;org.springframework.cache.config;org.springframework.cache.interceptor
common,17,605,1,guava,com.google.common.annotations;com.google.common.base;com.google.common.base.internal;com.google.common.cache;com.google.common.collect
mysql,31,599,1,mysql-connector-j,com.mysql.cj;com.mysql.cj.admin;com.mysql.cj.callback;com.mysql.cj.conf;com.mysql.cj.conf.url
cj,30,596,1,mysql-connector-j,com.mysql.cj;com.mysql.cj.admin;com.mysql.cj.callback;com.mysql.cj.conf;com.mysql.cj.conf.url
databind,36,571,1,jackson-databind,tools.jackson.databind;tools.jackson.databind.annotation;tools.jackson.databind.cfg;tools.jackson.databind.deser;tools.jackson.databind.deser.bean
lang3,20,534,1,commons-lang,org.apache.commons.lang3;org.apache.commons.lang3.arch;org.apache.commons.lang3.builder;org.apache.commons.lang3.compare;org.apache.commons.lang3.concurrent
mockito,67,480,1,mockito-core,org.mockito;org.mockito.configuration;org.mockito.creation.instance;org.mockito.exceptions;org.mockito.exceptions.base
alibaba,20,468,1,fastjson,com.alibaba.fastjson2;com.alibaba.fastjson2.annotation;com.alibaba.fastjson2.codec;com.alibaba.fastjson2.filter;com.alibaba.fastjson2.function
fastjson2,20,468,1,fastjson,com.alibaba.fastjson2;com.alibaba.fastjson2.annotation;com.alibaba.fastjson2.codec;com.alibaba.fastjson2.filter;com.alibaba.fastjson2.function
client5,29,422,1,httpclient,org.apache.hc.client5.http;org.apache.hc.client5.http.async;org.apache.hc.client5.http.async.methods;org.apache.hc.client5.http.auth;org.apache.hc.client5.http.classic
hc,29,422,1,httpclient,org.apache.hc.client5.http;org.apache.hc.client5.http.async;org.apache.hc.client5.http.async.methods;org.apache.hc.client5.http.auth;org.apache.hc.client5.http.classic
lombok,42,388,1,lombok,lombok;lombok.ant;lombok.bytecode;lombok.core;lombok.core.configuration
error,4,332,1,assertj-core,org.assertj.core.error;org.assertj.core.error.array2d;org.assertj.core.error.future;org.assertj.core.error.uri
beanutils2,13,293,1,commons-beanutils,org.apache.commons.beanutils2;org.apache.commons.beanutils2.bugs;org.apache.commons.beanutils2.bugs.other;org.apache.commons.beanutils2.converters;org.apache.commons.beanutils2.expression
collect,1,216,1,guava,com.google.common.collect
ch,28,169,1,logback-classic,ch.qos.logback.classic;ch.qos.logback.classic.boolex;ch.qos.logback.classic.encoder;ch.qos.logback.classic.filter;ch.qos.logback.classic.helpers
logback,28,169,1,logback-classic,ch.qos.logback.classic;ch.qos.logback.classic.boolex;ch.qos.logback.classic.encoder;ch.qos.logback.classic.filter;ch.qos.logback.classic.helpers
qos,28,169,1,logback-classic,ch.qos.logback.classic;ch.qos.logback.classic.boolex;ch.qos.logback.classic.encoder;ch.qos.logback.classic.filter;ch.qos.logback.classic.helpers
joda,7,166,1,joda-time,org.joda.time;org.joda.time.base;org.joda.time.chrono;org.joda.time.convert;org.joda.time.field
reader,1,155,1,fastjson,com.alibaba.fastjson2.reader
javac,15,140,1,lombok,com.sun.tools.javac.code;com.sun.tools.javac.comp;com.sun.tools.javac.file;com.sun.tools.javac.main;com.sun.tools.javac.parser
deser,8,138,1,jackson-databind,tools.jackson.databind.deser;tools.jackson.databind.deser.bean;tools.jackson.databind.deser.impl;tools.jackson.databind.deser.jackson;tools.jackson.databind.deser.jdk
testng,10,135,1,testng,org.testng;org.testng.annotations;org.testng.internal;org.testng.internal.annotations;org.testng.internal.objects
input,3,134,1,commons-io,org.apache.commons.io.input;org.apache.commons.io.input.buffer;org.apache.commons.io.input.compatibility
appender,11,133,1,log4j-core,org.apache.logging.log4j.core.appender;org.apache.logging.log4j.core.appender.db;org.apache.logging.log4j.core.appender.db.jdbc;org.apache.logging.log4j.core.appender.mom;org.apache.logging.log4j.core.appender.mom.jeromq
converters,4,125,1,commons-beanutils,org.apache.commons.beanutils2.converters;org.apache.commons.beanutils2.locale.converters;org.apache.commons.beanutils2.sql.converters;org.apache.commons.beanutils2.sql.converters.locale
writer,1,118,1,fastjson,com.alibaba.fastjson2.writer
command,4,112,1,h2,org.h2.command;org.h2.command.ddl;org.h2.command.dml;org.h2.command.query
ser,8,107,1,jackson-databind,tools.jackson.databind.ext.javatime.ser;tools.jackson.databind.ext.javatime.ser.key;tools.jackson.databind.ser;tools.jackson.databind.ser.bean;tools.jackson.databind.ser.impl
eclipse,8,101,1,lombok,lombok.eclipse;lombok.eclipse.agent;lombok.eclipse.dependencies;lombok.eclipse.dependencies.model;lombok.eclipse.handlers
handlers,5,100,1,lombok,lombok.core.handlers;lombok.eclipse.handlers;lombok.eclipse.handlers.singulars;lombok.javac.handlers;lombok.javac.handlers.singulars
xdevapi,1,95,1,mysql-connector-j,com.mysql.cj.xdevapi
testsuite,6,94,1,mysql-connector-j,testsuite;testsuite.perf;testsuite.regression;testsuite.simple;testsuite.x.devapi
iterators,1,90,1,commons-collections,org.apache.commons.collections4.iterators
x,5,90,1,mysql-connector-j,com.mysql.cj.protocol.x;com.mysql.cj.x.protobuf;demo.x.devapi;testsuite.x.devapi;testsuite.x.internal
a,3,85,1,mysql-connector-j,com.mysql.cj.protocol.a;com.mysql.cj.protocol.a.authentication;com.mysql.cj.protocol.a.result
gson,9,85,1,gson,com.google.gson;com.google.gson.annotations;com.google.gson.internal;com.google.gson.internal.bind;com.google.gson.internal.bind.util
scheduling,5,84,1,spring-context,org.springframework.scheduling;org.springframework.scheduling.annotation;org.springframework.scheduling.concurrent;org.springframework.scheduling.config;org.springframework.scheduling.support
ext,10,81,1,jackson-databind,tools.jackson.databind.ext;tools.jackson.databind.ext.beans;tools.jackson.databind.ext.javatime;tools.jackson.databind.ext.javatime.deser;tools.jackson.databind.ext.javatime.deser.key
output,1,76,1,commons-io,org.apache.commons.io.output
bloomfilter,1,74,1,commons-collections,org.apache.commons.collections4.bloomfilter
jdk,2,73,1,jackson-databind,tools.jackson.databind.deser.jdk;tools.jackson.databind.ser.jdk
mvstore,6,70,1,h2,org.h2.mvstore;org.h2.mvstore.cache;org.h2.mvstore.db;org.h2.mvstore.rtree;org.h2.mvstore.tx
functors,1,65,1,commons-collections,org.apache.commons.collections4.functors
ddl,1,64,1,h2,org.h2.command.ddl
value,2,62,1,h2,org.h2.value;org.h2.value.lob
store,12,60,1,h2,org.h2.store;org.h2.store.fs;org.h2.store.fs.async;org.h2.store.fs.disk;org.h2.store.fs.encrypt
stubbing,4,56,1,mockito-core,org.mockito.internal.stubbing;org.mockito.internal.stubbing.answers;org.mockito.internal.stubbing.defaultanswers;org.mockito.stubbing
verification,8,56,1,mockito-core,org.mockito.exceptions.verification;org.mockito.exceptions.verification.junit;org.mockito.exceptions.verification.opentest4j;org.mockito.internal.verification;org.mockito.internal.verification.api
graph,1,54,1,guava,com.google.common.graph
retrofit2,3,54,1,retrofit,retrofit2;retrofit2.http;retrofit2.internal
export,6,52,1,spring-context,org.springframework.jmx.export;org.springframework.jmx.export.annotation;org.springframework.jmx.export.assembler;org.springframework.jmx.export.metadata;org.springframework.jmx.export.naming
javatime,6,50,1,jackson-databind,tools.jackson.databind.ext.javatime;tools.jackson.databind.ext.javatime.deser;tools.jackson.databind.ext.javatime.deser.key;tools.jackson.databind.ext.javatime.ser;tools.jackson.databind.ext.javatime.ser.key
rolling,2,49,1,log4j-core,org.apache.logging.log4j.core.appender.rolling;org.apache.logging.log4j.core.appender.rolling.action
binary,1,48,1,commons-codec,org.apache.commons.codec.binary
extension,2,48,1,junit-jupiter-api,org.junit.jupiter.api.extension;org.junit.jupiter.api.extension.support
entity,3,46,1,httpclient,org.apache.hc.client5.http.entity;org.apache.hc.client5.http.entity.compress;org.apache.hc.client5.http.entity.mime
filefilter,1,45,1,commons-io,org.apache.commons.io.filefilter
creation,10,42,1,mockito-core,org.mockito.creation.instance;org.mockito.internal.creation;org.mockito.internal.creation.bytebuddy;org.mockito.internal.creation.bytebuddy.access;org.mockito.internal.creation.bytebuddy.codegen
fs,11,42,1,h2,org.h2.store.fs;org.h2.store.fs.async;org.h2.store.fs.disk;org.h2.store.fs.encrypt;org.h2.store.fs.mem
language,2,41,1,commons-codec,org.apache.commons.codec.language;org.apache.commons.codec.language.bm
digest,1,40,1,commons-codec,org.apache.commons.codec.digest
sun,8,39,1,lombok,com.sun.tools.javac.code;com.sun.tools.javac.comp;com.sun.tools.javac.file;com.sun.tools.javac.main;com.sun.tools.javac.parser
methods,2,38,1,httpclient,org.apache.hc.client5.http.async.methods;org.apache.hc.client5.http.classic.methods
table,2,38,1,h2,org.h2.expression.function.table;org.h2.table
bugs,2,37,1,commons-beanutils,org.apache.commons.beanutils2.bugs;org.apache.commons.beanutils2.bugs.other
cookie,2,37,1,httpclient,org.apache.hc.client5.http.cookie;org.apache.hc.client5.http.impl.cookie
jsontype,2,37,1,jackson-databind,tools.jackson.databind.jsontype;tools.jackson.databind.jsontype.impl
conf,2,35,1,mysql-connector-j,com.mysql.cj.conf;com.mysql.cj.conf.url
matchers,3,35,1,mockito-core,org.mockito.internal.matchers;org.mockito.internal.matchers.apachecommons;org.mockito.internal.matchers.text
set,1,35,1,commons-collections,org.apache.commons.collections4.set
interceptor,1,33,1,spring-context,org.springframework.cache.interceptor
invocation,4,32,1,mockito-core,org.mockito.internal.invocation;org.mockito.internal.invocation.finder;org.mockito.internal.invocation.mockref;org.mockito.invocation
cfg,1,31,1,jackson-databind,tools.jackson.databind.cfg
chrono,1,31,1,joda-time,org.joda.time.chrono
node,1,30,1,jackson-databind,tools.jackson.databind.node
bag,1,29,1,commons-collections,org.apache.commons.collections4.bag
engine,1,29,1,h2,org.h2.engine
list,1,29,1,commons-collections,org.apache.commons.collections4.list
std,2,29,1,jackson-databind,tools.jackson.databind.deser.std;tools.jackson.databind.ser.std
devapi,2,27,1,mysql-connector-j,demo.x.devapi;testsuite.x.devapi
lookup,1,27,1,log4j-core,org.apache.logging.log4j.core.lookup
scripting,5,27,1,spring-context,org.springframework.scripting;org.springframework.scripting.bsh;org.springframework.scripting.config;org.springframework.scripting.groovy;org.springframework.scripting.support
locale,3,26,1,commons-beanutils,org.apache.commons.beanutils2.locale;org.apache.commons.beanutils2.locale.converters;org.apache.commons.beanutils2.sql.converters.locale
primitives,1,26,1,guava,com.google.common.primitives
bytebuddy,4,25,1,mockito-core,org.mockito.internal.creation.bytebuddy;org.mockito.internal.creation.bytebuddy.access;org.mockito.internal.creation.bytebuddy.codegen;org.mockito.internal.creation.bytebuddy.inject
dml,1,25,1,h2,org.h2.command.dml
field,1,25,1,joda-time,org.joda.time.field
